,pl,be,uk,ru,bg,sl,cs,gender,en
1891,Albert Hofmann,Альберт Хофман,Альберт Гофманн,Альберт Хофман,Алберт Хофман,Albert Hofmann,Albert Hofmann,m,Albert Hofmann
1892,Marine Le Pen,Марын Ле Пен,Марін Ле  Пен,Марин Ле Пен,Марин Льо Пен,Marine Le Pen,Marine Le Penová,f,Marine Le Pen
1893,Asif Ali Zardari,Асіф Алі Зардары,Асіф Алі Зардарі,Асиф Зардари,Асиф Али Зардари,Asif Ali Zardari,Ásif Alí Zardárí,m,Asif Ali Zardari
1894,Pervez Musharraf,Первез Мушараф,Первез Мушарраф,Первез Мушарраф,Первез Мушараф,Pervez Mušaraf,Parvíz Mušaraf,m,Pervez Musharraf
1895,Ségolène Royal,Сегален Руаяль,Сеголен Руаяль,Сеголен Руаяль,Сеголен Роаял,Ségolène Royal,Ségolène Royalová,f,Ségolène Royal
1896,José Manuel Durão Barroso,Жазэ Мануэл Барозу,Жозе Баррозу,Жозе Баррозу,Жозе Мануел Барозо,Manuel Barroso,José Manuel Barroso,m,José Manuel Barroso
1897,António Guterres,Антоніу Гутэрыш,Антоніу Гутерреш,Антониу Гутерриш,Антониу Гутериш,António Guterres,António Guterres,m,António Guterres
1898,Daniel Bernoulli,Данііл Бернулі,Даніель Бернуллі,Даниил Бернулли,Даниел Бернули,Daniel Bernoulli,Daniel Bernoulli,m,Daniel Bernoulli
1899,Johann Bernoulli,Іаган Бернулі,Йоганн Бернуллі,Иоганн Бернулли,Йохан Бернули,Johann Bernoulli I,Johann Bernoulli,m,Johann Bernoulli
1900,Jakob Bernoulli,Якаб Бернулі,Якоб Бернуллі,Якоб Бернулли,Якоб Бернули,Jakob Bernoulli I,Jacob Bernoulli,m,Jacob Bernoulli
1901,Honoriusz ,Ганорый,Гонорій ,Гонорий,Хонорий ,Honorij ,Honorius ,m,Honorius
1902,Victor Franz Hess,Віктар Франц Гес,Віктор Франц Гесс,Виктор Гесс,Виктор Франц Хес,Victor Franz Hess,Victor Franz Hess,m,Victor Francis Hess
1903,Carl David Anderson,Карл Дэйвід Андэрсан,Карл Девід Андерсон,Карл Андерсон,Карл Дейвид Андерсън,Carl David Anderson,Carl David Anderson,m,Carl David Anderson
1904,George E. Smith,Джордж Элвуд Сміт,Джордж Сміт,Джордж Смит,Джордж Смит ,George Elwood Smith,George Elwood Smith,m,George Smith
1905,Sykstus IV,Сікст IV,Сікст IV,Сикст IV,Сикст IV,Papež Sikst IV,Sixtus IV,m,Pope Sixtus IV
1906,Pál Schmitt,Пал Шміт,Пал Шмітт,Пал Шмитт,Пал Шмит,Pál Schmitt,Pál Schmitt,m,Pál Schmitt
1907,Franciszek Józef I,Франц Іосіф I,Франц Йосиф I,Франц Иосиф I,Франц Йосиф ,Franc Jožef I. Habsburško-Lotarinški,František Josef I,m,Franz Joseph I of Austria
1908,Henri Lebesgue,Анры Леон Лебег,Анрі Леон Лебег,Анри Лебег,Анри Льобег,Henri Léon Lebesgue,Henri Lebesgue,m,Henri Lebesgue
1909,Max Born,Макс Борн,Макс Борн,Макс Борн,Макс Борн,Max Born,Max Born,m,Max Born
1910,John Hasbrouck van Vleck,Джон Хазбрук ван Флек,Джон Ван Флек,Джон Ван Флек,Джон ван Флек,John Hasbrouck van Vleck,John Hasbrouck van Vleck,m,John Hasbrouck Van Vleck
1911,Philip Warren Anderson,Філіп Уорэн Андэрсан,Філіп Андерсон,Филип Андерсон,Филип Уорън Андерсън,Philip Warren Anderson,Philip Warren Anderson,m,Philip W. Anderson
1912,Ian McKellen,Іэн Мак-Келен,Ієн Маккеллен,Иэн Маккеллен,Иън Маккелън,Ian McKellen,Ian McKellen,m,Ian McKellen
1913,Clinton Joseph Davisson,Клінтан Джозеф Дэвісан,Джозеф Клінтон,Клинтон Дэвиссон,Клинтън Дейвисън,Clinton Joseph Davisson,Clinton Joseph Davisson,m,Clinton Davisson
1914,Otto Stern,Ота Штэрн,Отто Штерн,Отто Штерн,Ото Щерн,Otto Stern,Otto Stern,m,Otto Stern
1915,John Dryden,Джон Драйдэн,Джон Драйден,Джон Драйден,Джон Драйдън,John Dryden,John Dryden,m,John Dryden
1916,Tadeusz Reichstein,Тадэвуш Рэйхштэйн,Тадеуш Райхштайн,Тадеуш Рейхштейн,Тадеуш Райхщайн,Tadeus Reichstein,Tadeus Reichstein,m,Tadeusz Reichstein
1917,Aleksiej Brusiłow,Аляксей Аляксеевіч Брусілаў,Олексій Брусилов,Алексей Брусилов,Алексей Брусилов,Aleksej Aleksejevič Brusilov,Alexej Alexejevič Brusilov,m,Aleksei Brusilov
1918,Isidor Isaac Rabi,Ісідар Айзек Рабі,Ісидор Рабі,Исидор Раби,Изидор Раби,Isidor Isaac Rabi,Isidor Isaac Rabi,m,Isidor Isaac Rabi
1919,Percy Williams Bridgman,Персі Уільямс Брыджмен,Персі Бріджмен,Перси Бриджмен,Пърси Уилямс Бриджман,Percy Williams Bridgman,Percy Williams Bridgman,m,Percy Williams Bridgman
1920,Edward Victor Appleton,Эдуард Віктар Эплтан,Віктор Едвард,Эдуард Эплтон,Едуард Виктор Епълтън,Edward Victor Appleton,Edward Victor Appleton,m,Edward Victor Appleton
