,pl,be,uk,ru,bg,sl,cs,gender,en
0,Anthony Eden,Энтані Ідэн,Ентоні Іден,Энтони Иден,Антъни Идън,Anthony Eden,Anthony Eden,m,Anthony Eden
1,Filippo Inzaghi,Філіпа Індзагі,Філіппо Індзагі,Филиппо Индзаги,Филипо Индзаги,Filippo Inzaghi,Filippo Inzaghi,m,Filippo Inzaghi
2,Arthur Wellesley ,А. Велінгтан,Артур Веллслі,Артур Веллингтон,Артър Уелсли,Arthur Wellesley,Arthur Wellesley,m,Arthur Wellesley
3,Abbas I Wielki,Абас I Вялікі,Аббас I Великий,Аббас I Великий,Абас I Велики,Abas I. Veliki,Abbás I. Veliký,m,Abbas the Great
4,Agapit I,Агапій I ,Агапіт I,Агапит I,Агапет I,Papež Agapit I,Agapetus I,m,Pope Agapetus I
5,John Adams,Джон Адамс,Джон Адамс,Джон Адамс,Джон Адамс,John Adams,John Adams,m,John Adams
6,John Quincy Adams,Джон Квінсі Адамс,Квінсі Джон,Джон Адамс,Джон Куинси Адамс,John Quincy Adams,John Quincy Adams,m,John Quincy Adams
7,José Leandro Andrade,Хасэ Леандра Андрадэ,Леандро Хосе,Хосе Андраде,Хосе Андраде,José Leandro Andrade,José Andrade,m,José Leandro Andrade
8,Thierry Henry,Цьеры Анры,Тьєррі Анрі,Тьерри Анри,Тиери Анри,Thierry Henry,Thierry Henry,m,Thierry Henry
9,Chester Arthur,Чэстэр Алан Артур,Алан Честер,Честер Артур,Честър Артър,Chester Alan Arthur,Chester A. Arthur,m,Chester A. Arthur
10,Klaus Augenthaler,Клаўс Аўгенталер,Клаус Аугенталер,Клаус Аугенталер,Клаус Аугенталер,Klaus Augenthaler,Klaus Augenthaler,m,Klaus Augenthaler
11,Uwe Bein,Увэ Байн,Уве Байн,Уве Байн,Уве Байн,Uwe Bein,Uwe Bein,m,Uwe Bein
12,Bonifacy II,Баніфацый II ,Боніфацій II,Бонифаций II,Бонифаций II,Bonifacij II,Bonifác II,m,Pope Boniface II
13,Andrea Barzagli,Андрэа Бардзальі,Андреа Барцальї,Андреа Бардзальи,Андреа Бардзали,Andrea Barzagli,Andrea Barzagli,m,Andrea Barzagli
14,Bebeto,Бебету,Бебето,Бебето,Бебето,Bebeto,Bebeto,m,Bebeto
15,Benedykt XVI,Бенедыкт XVI,Бенедикт XVI,Бенедикт XVI,Бенедикт XVI,Papež Benedikt XVI,Benedikt XVI,m,Pope Benedict XVI
16,Benedykt XV,Бенедыкт XV,Бенедикт XV,Бенедикт XV,Бенедикт XV,Papež Benedikt XV,Benedikt XV,m,Pope Benedict XV
17,Leonard Bernstein,Леанард Бернстайн,Леонард Бернстайн,Леонард Бернстайн,Ленард Бърнстейн,Leonard Bernstein,Leonard Bernstein,m,Leonard Bernstein
18,Tony Blair,Тоні Блэр,Тоні Блер,Тони Блэр,Тони Блеър,Tony Blair,Tony Blair,m,Tony Blair
19,Paul Breitner,Паўль Брайтнер,Пауль Брайтнер,Пауль Брайтнер,Паул Брайтнер,Paul Breitner,Paul Breitner,m,Paul Breitner
20,Gianluigi Buffon,Джанлуіджы Буфон,Джанлуїджі Буффон,Джанлуиджи Буффон,Джанлуиджи Буфон,Gianluigi Buffon,Gianluigi Buffon,m,Gianluigi Buffon
21,Guido Buchwald,Гвіда Бухвальд,Гвідо Бухвальд,Гвидо Бухвальд,Гуидо Бухвалд,Guido Buchwald,Guido Buchwald,m,Guido Buchwald
22,George H.W. Bush,Джордж Буш,Джордж Буш,Джордж Буш,Джордж Х. У. Буш,George H. W. Bush,George H. W. Bush,m,George H. W. Bush
23,Gordon Banks,Гордан Бэнкс,Гордон Бенкс,Гордон Бэнкс,Гордън Бенкс,Gordon Banks,Gordon Banks,m,Gordon Banks
24,James Buchanan,Джэймс Б’юкенен,Джеймс Б'юкенен,Джеймс Бьюкенен,Джеймс Бюканън,James Buchanan,James Buchanan,m,James Buchanan
25,Martin Van Buren,Марцін Ван Бюрэн,Мартін ван Бюрен,Мартин Ван Бюрен,Мартин Ван Бюрън,Martin Van Buren,Martin Van Buren,m,Martin Van Buren
26,Carlos Bilardo,Карлас Біларда,Карлос Білардо,Карлос Билардо,Карлос Билардо,Carlos Bilardo,Carlos Bilardo,m,Carlos Bilardo
27,George Washington,Джордж Вашынгтон,Джордж Вашингтон,Джордж Вашингтон,Джордж Вашингтон,George Washington,George Washington,m,George Washington
28,Jules Verne,Жуль Верн,Жуль Верн,Жюль Верн,Жул Верн,Jules Verne,Jules Verne,m,Jules Verne
29,Wen Jiabao,Вэнь Цзябаа,Вень Цзябао,Вэнь Цзябао,Уън Дзябао,Ven Džjabao,Wen Ťia-pao,m,Wen Jiabao
30,Wigiliusz ,Вігілій ,Вігілій,Вигилий ,Вигилий,Papež Vigilij,Vigilius,m,Pope Vigilius
31,Patrick Vieira,Патрык Віейра,Патрік Вієйра,Патрик Виейра,Патрик Виейра,Patrick Vieira,Patrick Vieira,m,Patrick Vieira
32,Woodrow Wilson,Томас Вудра Вільсан,Вудро Вільсон,Вудро Вильсон,Удроу Уилсън,Woodrow Wilson,Woodrow Wilson,m,Woodrow Wilson
33,Ludwig Wittgenstein,Людвіг Вітгенштэйн,Людвіг Вітгенштайн,Людвиг Витгенштейн,Лудвиг Витгенщайн,Ludwig Wittgenstein,Ludwig Wittgenstein,m,Ludwig Wittgenstein
34,Harold II,Гаральд II Годвінсан,Гарольд II Ґодвінсон,Гарольд II Годвинсон,Харолд Годуинсън,Harold II,Harold II. Godwinson,m,Harold Godwinson
35,Warren Harding,Уорэн Гардзінг,Воррен Гардінг,Уоррен Гардинг,Уорън Хардинг,Warren G. Harding,Warren G. Harding,m,Warren G. Harding
36,James Garfield,Джэймс Гарфілд,Джеймс Гарфілд,Джеймс Гарфилд,Джеймс Гарфийлд,James Garfield,James A. Garfield,m,James A. Garfield
37,Garrincha,Гарынча,Гаррінча,Гарринча,Гаринча,Garrincha,Garrincha,m,Garrincha
38,Benjamin Harrison,Бенджамін Гарысан,Бенджамін Гаррісон,Бенджамин Гаррисон,Бенджамин Харисън,Benjamin Harrison,Benjamin Harrison,m,Benjamin Harrison
39,William Henry Harrison,Уільям Генры Гарысан,Вільям Генрі Гаррісон,Уильям Гаррисон,Уилям Хенри Харисън,William Henry Harrison,William Henry Harrison,m,William Henry Harrison
40,Ulysses Grant,Уліс Сімсан Грант,Улісс Грант,Улисс Грант,Юлисис Грант,Ulysses S. Grant,Ulysses S. Grant,m,Ulysses S. Grant
41,Herbert Hoover,Герберт Кларк Гувер,Герберт Гувер,Герберт Гувер,Хърбърт Хувър,Herbert Hoover,Herbert Hoover,m,Herbert Hoover
42,Alcides Ghiggia,Альсідэс Гіджа,Альсідес Гіджа,Альсидес Гиджа,Алсидес Гиджа,Alcides Ghiggia,Alcides Ghiggia,m,Alcides Ghiggia
43,Lyndon B. Johnson,Ліндан Бэйнс Джонсан,Ліндон Джонсон,Линдон Джонсон,Линдън Джонсън,Lyndon B. Johnson,Lyndon B. Johnson,m,Lyndon B. Johnson
44,Andrew Johnson,Эндру Джонсан,Ендрю Джонсон,Эндрю Джонсон,Андрю Джонсън,Andrew Johnson,Andrew Johnson,m,Andrew Johnson
45,David Lloyd George,Дэвід Лойд Джордж,Девід Ллойд Джордж,Дэвид Ллойд Джордж,Дейвид Лойд Джордж,David Lloyd George,David Lloyd George,m,David Lloyd George
46,Alberto Gilardino,Альберта Джылардзіна,Альберто Джилардіно,Альберто Джилардино,Алберто Джилардино,Alberto Gilardino,Alberto Gilardino,m,Alberto Gilardino
47,Andrew Jackson,Эндру Джэксан,Ендрю Джексон,Эндрю Джексон,Андрю Джаксън,Andrew Jackson,Andrew Jackson,m,Andrew Jackson
48,Thomas Jefferson,Томас Джэферсан,Томас Джефферсон,Томас Джефферсон,Томас Джеферсън,Thomas Jefferson,Thomas Jefferson,m,Thomas Jefferson
49,Benjamin Disraeli,Дзісраэлі,Бенджамін Дізраелі,Бенджамин Дизраэли,Бенджамин Дизраели,Benjamin Disraeli,Benjamin Disraeli,m,Benjamin Disraeli
50,Douglas Adams,Дуглас Адамс,Дуглас Адамс,Дуглас Адамс,Дъглас Адамс,Douglas Adams,Douglas Adams,m,Douglas Adams
51,Dunga,Дунга,Дунга,Дунга,Дунга,Dunga,Dunga,m,Dunga
52,Daniele De Rossi,Дэ Росі Даніэле,Данієле Де Россі,Даниеле Де Росси,Даниеле Де Роси,Daniele De Rossi,Daniele De Rossi,m,Daniele De Rossi
53,Alessandro Del Piero,Алесандра Дэль П’ера,Алессандро Дель П'єро,Алессандро Дель Пьеро,Алесандро Дел Пиеро,Alessandro Del Piero,Alessandro Del Piero,m,Alessandro Del Piero
54,Jorginho ,Жаржынью,Жоржиньйо ,Жоржиньо,Жоржиньо,Jorginho,Jorginho ,m,Jorginho
55,Jairzinho,Жайрзінью,Жаїрзінью,Жаирзиньо,Жаирзиньо,Jairzinho,Jairzinho,m,Jairzinho
56,Juninho Paulista,Жунінью Паўліста,Жуніньйо Пауліста,Жуниньо Паулиста,Жуниньо Паулища,Juninho Paulista,Juninho Paulista,m,Juninho Paulista
57,Zinédine Zidane,Зінедзін Зідан,Зінедін Зідан,Зинедин Зидан,Зинедин Зидан,Zinedine Zidane,Zinédine Zidane,m,Zinedine Zidane
58,Zinho,Зінью,Зіньйо,Зиньо,Зиньо,Zinho,Zinho,m,Zinho
59,Kaká,Кака,Кака,Кака,Кака ,Kaká,Kaká,m,Kaka
60,Mauro Camoranesi,Маўра Камаранезі,Мауро Каморанезі,Мауро Каморанези,Мауро Каморанези,Mauro Camoranesi,Mauro Camoranesi,m,Mauro Camoranesi
61,Konfucjusz,Канфуцый,Конфуцій,Конфуций,Конфуций,Konfucij,Konfucius,m,Confucius
62,Jimmy Carter,Джэймс Эрл Картэр,Джиммі Картер,Джимми Картер,Джими Картър,Jimmy Carter,Jimmy Carter,m,Jimmy Carter
63,Héctor Castro,Эктар Кастра,Ектор Кастро,Эктор Кастро,Ектор Кастро,Héctor Castro,Héctor Castro,m,Héctor Castro
64,Cafu,Кафу,Кафу,Кафу,Кафу ,Cafu,Cafu,m,Cafú
65,John Kennedy,Джон Кенэдзі,Джон Кеннеді,Джон Кеннеди,Джон Кенеди,John Kennedy,John Kennedy,m,John F. Kennedy
66,Klemens III ,Клімент III ,Климент III ,Климент III ,Климент III ,Protipapež Klemen III,Klement III,m,Pope Clement III
67,Jürgen Klinsmann,Юрген Клінсман,Юрген Клінсманн,Юрген Клинсман,Юрген Клинсман,Jürgen Klinsmann,Jürgen Klinsmann,m,Jürgen Klinsmann
68,Bill Clinton,Біл Клінтан,Білл Клінтон,Билл Клинтон,Бил Клинтън,Bill Clinton,Bill Clinton,m,Bill Clinton
69,Grover Cleveland,Стывен Гровер Кліўленд,Гровер Клівленд,Гровер Кливленд,Гроувър Кливланд,Grover Cleveland,Grover Cleveland,m,Grover Cleveland
70,Jürgen Kohler,Юрген Колер,Юрген Колер,Юрген Колер,Юрген Колер,Jürgen Kohler,Jürgen Kohler,m,Jürgen Kohler
71,Izaak I Komnen,Ісаак I Камнін,Ісаак I Комнін,Исаак I Комнин,Исак I Комнин,Izak I. Komnen,Izák I. Komnenos,m,Isaac I Komnenos
72,Aleksy I Komnen,Аляксей I Камнін,Олексій I Комнін,Алексей I Комнин,Алексий I Комнин,Aleksej I. Komnen,Alexios I. Komnenos,m,Alexios I Komnenos
73,Anna Komnena,Ганна Камніна,Анна Комніна,Анна Комнина,Анна Комнина,Ana Komnena,Anna Komnenovna,f,Anna Komnene
74,Calvin Coolidge,Кальвін Кулідж,Калвін Кулідж,Калвин Кулидж,Калвин Кулидж,Calvin Coolidge,Calvin Coolidge,m,Calvin Coolidge
75,Wawrzyniec ,Лаўрэнцій ,Лаврентій ,Лаврентий ,Лаврентий ,Protipapež Lovrenc,Laurentius,m,Laurentius
76,Leonardo Nascimento de Araújo,Леанарду Араужу,Леонардо Араужо,Леонардо Араужо,Леонардо Араужо,Leonardo Araújo,Leonardo Nascimento de Araújo,m,Leonardo Araújo
77,Leon XIII,Леў XIII,Лев XIII,Лев XIII,Лъв XIII,Papež Leon XIII,Lev XIII,m,Pope Leo XIII
78,Luiz Carlos Bombonato Goulart,Луіс Карлус Бамбанату Голарт,Луїс Карлос Бомбонато Гоуларт,Луис Бомбонато Гоуларт,Луизао,Luizão,Luiz Carlos Bombonato Goulart,m,Luizão
79,Bixente Lizarazu,Біксант Лізаразю,Біксант Лізаразю,Биксант Лизаразю,Бишенте Лизаразу,Bixente Lizarazu,Bixente Lizarazu,m,Bixente Lizarazu
80,Abraham Lincoln,Аўраам Лінкальн,Авраам Лінкольн,Авраам Линкольн,Ейбрахам Линкълн,Abraham Lincoln,Abraham Lincoln,m,Abraham Lincoln
81,Linus ,Лін,Лін ,Лин ,Лин ,Papež Lin,Linus,m,Tench
82,Linus Torvalds,Лінус Торвальдс,Лінус Торвальдс,Линус Торвальдс,Линус Торвалдс,Linus Torvalds,Linus Torvalds,m,Linus Torvalds
83,Pierre Littbarski,П’ер Літбарскі,П'єр Літтбарскі,Пьер Литтбарски,Пиер Литбарски,Pierre Littbarski,Pierre Littbarski,m,Pierre Littbarski
84,Sepp Maier,Зеп Маер,Зепп Маєр,Зепп Майер,Сеп Майер,Sepp Maier,Sepp Maier,m,Sepp Maier
85,William McKinley,Уільям Мак-Кінлі,Вільям Мак-Кінлі,Уильям Мак-Кинли,Уилям Маккинли,William McKinley,William McKinley,m,William McKinley
86,James Monroe,Джэймс Манро,Джеймс Монро,Джеймс Монро,Джеймс Монро,James Monroe,James Monroe,m,James Monroe
87,Diego Maradona,Дыега Арманда Марадона,Дієго Марадона,Диего Марадона,Диего Марадона,Diego Maradona,Diego Maradona,m,Diego Maradona
88,Evo Morales,Эва Маралес,Ево Моралес,Эво Моралес,Ево Моралес,Evo Morales,Evo Morales,m,Evo Morales
89,Marco Materazzi,Марка Матэрацы,Марко Матерацці,Марко Матерацци,Марко Матераци,Marco Materazzi,Marco Materazzi,m,Marco Materazzi
90,Lothar Matthäus,Лотар Матэус,Лотар Маттеус,Лотар Маттеус,Лотар Матеус,Lothar Matthäus,Lothar Matthäus,m,Lothar Matthäus
91,César Luis Menotti,Сесар Луіс Меноці,Луїс Сесар,Сесар Менотти,Сезар Луис Меноти,César Luis Menotti,César Luis Menotti,m,César Luis Menotti
92,James Madison,Джэймс Мэдысан,Джеймс Медісон,Джеймс Мэдисон,Джеймс Мадисън,James Madison,James Madison,m,James Madison
93,Müller ,Мюлер ,Мюллер ,Мюллер ,Мюлер ,Luís Antônio Corrêa da Costa,Müller ,m,Müller
94,Gerd Müller,Герд Мюлер,Герд Мюллер,Герд Мюллер,Герд Мюлер,Gerd Müller,Gerd Müller,m,Gerd Müller
95,Michał Anioł,Мікеланджэла Буанароці,Мікеланджело Буонарроті,Микеланджело,Микеланджело Буонароти,Michelangelo Buonarroti,Michelangelo Buonarroti,m,Michelangelo
96,Isaac Newton,Ісаак Ньютан,Ісаак Ньютон,Исаак Ньютон,Исак Нютон,Isaac Newton,Isaac Newton,m,Isaac Newton
97,Alessandro Nesta,Алесандра Неста,Алессандро Неста,Алессандро Неста,Алесандро Неста,Alessandro Nesta,Alessandro Nesta,m,Alessandro Nesta
98,Richard Nixon,Рычард Мілхаўс Ніксан,Річард Ніксон,Ричард Никсон,Ричард Никсън,Richard Nixon,Richard Nixon,m,Richard Nixon
99,Niels Bohr,Нільс Бор,Нільс Бор,Нильс Бор,Нилс Бор,Niels Henrik David Bohr,Niels Bohr,m,Niels Bohr
100,Massimo Oddo,Масіма Ода,Массімо Оддо,Массимо Оддо,Масимо Одо,Massimo Oddo,Massimo Oddo,m,Massimo Oddo
101,Otto von Bismarck,Ота фон Бісмарк,Отто фон Бісмарк,Отто Бисмарк,Ото фон Бисмарк,Otto von Bismarck,Otto von Bismarck,m,Otto von Bismarck
102,Paweł VI,Павел VI,Павло VI,Павел VI,Павел VI,Papež Pavel VI,Pavel VI,m,Pope Paul VI
103,Luca Pacioli,Лука Пачолі,Лука Пачолі,Лука Пачоли,Лука Пачоли,Luca Pacioli,Luca Pacioli,m,Luca Pacioli
104,Pelagiusz I,Пелагій I ,Пелагій I,Пелагий I,Пелагий I,Papež Pelagij I,Pelagius I,m,Pope Pelagius I
105,Pelé,Пеле,Пеле,Пеле,Пеле,Pelé,Pelé,m,Pelé
106,James Polk,Джэймс Нокс Полк,Джеймс Полк,Джеймс Полк,Джеймс Полк,James K. Polk,James K. Polk,m,James K. Polk
107,Karl Popper,Карл Попер,Карл Поппер,Карл Поппер,Карл Попър,Karl Popper,Karl Popper,m,Karl Popper
108,Piotr Apostoł,Пётр ,Петро ,Апостол Пётр,Петър ,Sveti Peter,Petr ,m,Peter
109,Pius IX,Пій IX,Пій IX,Пий IX,Пий IX,Papež Pij IX,Pius IX,m,Pope Pius IX
110,Pius XII,Пій XII,Пій XII,Пий XII,Пий XII,Papež Pij XII,Pius XII,m,Pope Pius XII
111,Pius XI,Пій XI,Пій XI,Пий XI,Пий XI,Papež Pij XI,Pius XI,m,Pope Pius XI
112,Pius X,Пій X,Пій X,Пий X,Пий X,Papež Pij X,Pius X,m,Pope Pius X
113,Robert Peel,Роберт Піль,Роберт Піль,Роберт Пиль,Робърт Пийл,Robert Peel,Robert Peel,m,Robert Peel
114,Franklin Pierce,Франклін Пірс,Франклін Пірс,Франклин Пирс,Франклин Пиърс,Franklin Pierce,Franklin Pierce,m,Franklin Pierce
115,Robert Pirès,Рабер Пірэс,Робер Пірес,Робер Пирес,Робер Пирес,Robert Pirès,Robert Pirès,m,Robert Pires
116,Roberto Carlos ,Раберту Карлус,Роберто Карлос,Роберто Карлос,Роберто Карлош,Roberto Carlos,Roberto Carlos,m,Roberto Carlos
117,Pietro Rava,П’етра Рава,П'єтро Рава,Пьетро Рава,Пиетро Рава,Pietro Rava,Pietro Rava,m,Pietro Rava
118,Romário,Рамарыу,Ромаріу,Ромарио,Ромарио,Romário,Romário,m,Romário
119,Ronaldo,Раналду,Роналду,Роналдо,Роналдо,Ronaldo,Ronaldo,m,Ronaldo
120,Ronaldinho,Раналдынью,Роналдінью,Роналдиньо,Роналдиньо,Ronaldinho,Ronaldinho,m,Ronaldinho
121,Paolo Rossi,Паала Росі,Паоло Россі,Паоло Росси,Паоло Роси,Paolo Rossi,Paolo Rossi,m,Paolo Rossi
122,Theodore Roosevelt,Тэадор Рузвельт,Теодор Рузвельт,Теодор Рузвельт,Теодор Рузвелт,Theodore Roosevelt,Theodore Roosevelt,m,Theodore Roosevelt
123,Franklin Delano Roosevelt,Франклін Дэлана Рузвельт,Делано Франклін,Франклин Рузвельт,Франклин Делано Рузвелт,Franklin Delano Roosevelt,Franklin Delano Roosevelt,m,Franklin D. Roosevelt
124,Rivaldo,Рывалду,Рівалдо,Ривалдо,Ривалдо,Rivaldo,Rivaldo,m,Rivaldo
125,Grzegorz I,Грыгорый I ,Григорій I,Григорий I ,Григорий I,Papež Gregor I,Řehoř I. Veliký,m,Pope Gregory I
126,Grzegorz XVI,Грыгорый XVI,Григорій XVI,Григорий XVI,Григорий XVI,Papež Gregor XVI,Řehoř XVI,m,Pope Gregory XVI
127,Ryszard I Lwie Serce,Рычард I,Річард I Левове Серце,Ричард I Львиное Сердце,Ричард I ,Rihard I. Levjesrčni,Richard I. Lví srdce,m,Richard the Lionheart
128,Ronald Reagan,Рональд Уілсан Рэйган,Рональд Рейган,Рональд Рейган,Роналд Рейгън,Ronald Reagan,Ronald Reagan,m,Ronald Reagan
129,Héctor Scarone,Эктар Скаронэ,Ектор Скароне,Эктор Скароне,Ектор Скароне,Héctor Scarone,Héctor Scarone,m,Héctor Scarone
130,Edward Sapir,Эдвард Сэйпір,Едвард Сепір,Эдуард Сепир,Едуард Сапир,Edward Sapir,Edward Sapir,m,Edward Sapir
131,Sylweriusz ,Сільверый ,Сільверій,Сильверий ,Силверий,Papež Silverij,Silverius,m,Pope Silverius
132,Symmachus ,Сімах ,Симах,Симмах ,Симах,Papež Simah,Symmachus ,m,Pope Symmachus
133,John Tyler,Джон Тайлер,Джон Тайлер,Джон Тайлер,Джон Тайлър,John Tyler,John Tyler,m,John Tyler
134,Cláudio Taffarel,Клаўдыу Тафарэл,Клаудіо Таффарел,Клаудио Таффарел,Клаудио Тафарел,Cláudio Taffarel,Cláudio Taffarel,m,Cláudio Taffarel
135,William Taft,Уільям Говард Тафт,Говард Вільям,Уильям Тафт,Уилям Тафт,William Howard Taft,William Howard Taft,m,William Howard Taft
136,Francesco Totti,Тоці Франчэска,Франческо Тотті,Франческо Тотти,Франческо Тоти,Francesco Totti,Francesco Totti,m,Francesco Totti
137,Harry Truman,Гары Трумэн,Гаррі Трумен,Гарри Трумэн,Хари С. Труман,Harry S. Truman,Harry S. Truman,m,Harry S. Truman
138,Zachary Taylor,Закары Тэйлар,Закарі Тейлор,Закари Тейлор,Закари Тейлър,Zachary Taylor,Zachary Taylor,m,Zachary Taylor
139,Benjamin Lee Whorf,Бенджамін Лі Уорф,Лі Бенджамін,Бенджамин Уорф,Бенджамин Уорф,Benjamin Lee Whorf,Benjamin Lee Whorf,m,Benjamin Lee Whorf
140,Feliks V,Амадэй VIII,Фелікс V ,Амадей VIII,Амадей VIII Савойски,Protipapež Feliks V,Amadeus VIII. Savojský,m,Amadeus VIII
141,Gerald Ford,Джэральд Рудальф Форд,Джеральд Форд,Джеральд Форд,Джералд Форд,Gerald Ford,Gerald Ford,m,Gerald Ford
142,Rudi Völler,Рудзі Фёлер,Руді Феллер,Руди Фёллер,Руди Фьолер,Rudi Völler,Rudi Völler,m,Rudi Völler
143,Millard Fillmore,Мілард Філмар,Міллард Філлмор,Миллард Филлмор,Милърд Филмор,Millard Fillmore,Millard Fillmore,m,Millard Fillmore
144,Ubaldo Fillol,Убальда Фільёль,Убальдо Фільйоль,Убальдо Фильоль,Убалдо Фильол,Ubaldo Fillol,Ubaldo Fillol,m,Ubaldo Fillol
145,José de San Martín,Хасэ дэ Сан-Марцін,Хосе де Сан-Мартін,Хосе Сан-Мартин,Хосе де Сан Мартин,José de San Martín,José de San Martín,m,José de San Martín
146,Rutherford Hayes,Ратэрфорд Бэрчард Хейс,Резерфорд Гейз,Ратерфорд Хейс,Ръдърфорд Хейс,Rutherford Birchard Hayes,Rutherford B. Hayes,m,Rutherford B. Hayes
147,Noam Chomsky,Ноам Хомскі,Ноам Чомскі,Ноам Хомский,Ноам Чомски,Noam Chomsky,Noam Chomsky,m,Noam Chomsky
148,Geoff Hurst,Джэфры Херст,Джефф Герст,Джефф Херст,Джоф Хърст,Geoff Hurst,Geoff Hurst,m,Geoff Hurst
149,Thomas Häßler,Томас Геслер,Томас Гесслер,Томас Хесслер,Томас Хеслер,Thomas Häßler,Thomas Häßler,m,Thomas Häßler
150,Charles Francis Richter,Чарльз Рыхтэр,Чарльз Френсіс Ріхтер,Чарльз Рихтер,Чарлз Франсис Рихтер,Charles Francis Richter,Charles Richter,m,Charles Francis Richter
151,Bobby Charlton,Бобі Чарльтан,Боббі Чарлтон,Бобби Чарльтон,Боби Чарлтън,Bobby Charlton,Bobby Charlton,m,Bobby Charlton
152,Neville Chamberlain,Невіл Чэмберлен,Невілл Чемберлен,Невилл Чемберлен,Невил Чембърлейн,Neville Chamberlain,Neville Chamberlain,m,Neville Chamberlain
153,Winston Churchill,Уінстан Чэрчыль,Вінстон Черчилль,Уинстон Черчилль,Уинстън Чърчил,Winston Churchill,Winston Churchill,m,Winston Churchill
154,Arnold Schönberg,Арнольд Шонберг,Арнольд Шенберг,Арнольд Шёнберг,Арнолд Шьонберг,Arnold Schönberg,Arnold Schoenberg,m,Arnold Schoenberg
155,Edgar II Ætheling,Эдгар Этэлінг,Едгар Етелінг,Эдгар Этелинг,Едгар Етелинг,Edgar Ætheling,Edgar Ætheling,m,Edgar Ætheling
156,Edílson,Эдылсан да Сілва Ферэйра,Еділсон,Эдилсон Силва Феррейра,Едилсон,Edílson,Edílson,m,Edílson
157,Dwight Eisenhower,Дуайт Дэйвід Эйзенхаўэр,Дуайт Ейзенхауер,Дуайт Эйзенхауэр,Дуайт Айзенхауер,Dwight David Eisenhower,Dwight D. Eisenhower,m,Dwight D. Eisenhower
158,Clement Attlee,Клемент Этлі,Клемент Еттлі,Клемент Эттли,Клемент Атли,Clement Attlee,Clement Attlee,m,Clement Attlee
159,Jan III ,Ян III ,Іван III ,Иоанн III ,Йоан III ,Papež Janez III,Jan III,m,Jan III
160,Jan I ,Ян I ,Іван I ,Иоанн I ,Йоан I ,Papež Janez I,Jan I,m,John I
161,Jan XVII,Ян XVII ,Іван XVII,Иоанн XVII,Йоан XVII ,Papež Janez XVII,Jan XVII,m,Pope John XVII
162,Jan XXIII,Ян XXIII,Іван XXIII,Иоанн XXIII,Йоан XXIII,Papež Janez XXIII,Jan XXIII,m,Pope John XXIII
163,Jan Matejko,Ян Матэйка,Ян Матейко,Ян Матейко,Ян Матейко,Jan Matejko,Jan Matejko,m,Jan Matejko
164,Jan Paweł II,Ян Павел II,Іван Павло II,Иоанн Павел II,Йоан Павел II,Papež Janez Pavel II,Jan Pavel II,m,Pope John Paul II
165,Jan Paweł I,Ян Павел I,Іван Павло I,Иоанн Павел I,Йоан Павел I,Papež Janez Pavel I,Jan Pavel I,m,Pope John Paul I
166,Aleksander I ,Аляксандр I ,Олександр I ,Александр I ,Александър I ,Papež Aleksander I,Alexandr I,m,Alexander I
167,Hipparchos z Nikei,Гіпарх,Гіппарх,Гиппарх,Хипарх,Hiparh,Hipparchos,m,Hipparchus
168,Edwin Hubble,Эдвін Паўэл Хабл,Едвін Габбл,Эдвин Хаббл,Едуин Хъбъл,Edwin Powell Hubble,Edwin Hubble,m,Edwin Hubble
169,Stanisław August Poniatowski,Станіслаў Аўгуст Панятоўскі,Станіслав-Август Понятовський,Станислав Август Понятовский,Станислав Август Понятовски,Stanislav II. Avgust Poniatowski,Stanislav II. August Poniatowski,m,Stanisław August Poniatowski
170,Stefan Batory,Стэфан Баторый,Стефан Баторій,Стефан Баторий,Стефан Батори,Štefan Báthory,Štěpán Báthory,m,Stephen Báthory
171,Zygmunt III Waza,Жыгімонт Ваза,Сигізмунд III Ваза,Сигизмунд III,Сигизмунд III Ваза,Sigismund III. Poljski,Zikmund III. Vasa,m,Sigismund III Vasa
172,Władysław IV Waza,Уладзіслаў Ваза,Владислав IV Ваза,Владислав IV,Владислав IV Ваза,Vladislav IV. Poljski,Vladislav IV. Vasa,m,Władysław IV Vasa
173,Władysław II Jagiełło,Ягайла,Владислав II Ягайло,Ягайло,Владислав II,Vladislav II. Poljski,Vladislav II. Jagello,m,Władysław II Jagiełło
174,Stanley Kubrick,Стэнлі Кубрык,Стенлі Кубрик,Стэнли Кубрик,Стенли Кубрик,Stanley Kubrick,Stanley Kubrick,m,Stanley Kubrick
175,Mikalojus Konstantinas Čiurlionis,Мікалоюс Чурлёніс,Константінас Мікалоюс,Микалоюс Чюрлёнис,Микалоюс Чурльонис,Mikalojus Konstantinas Čiurlionis,Mikalojus Konstantinas Čiurlionis,m,Mikalojus Konstantinas Čiurlionis
176,Mani,Мані,Мані ,Мани ,Мани,Mani,Mání,m,Mani
177,Yasunari Kawabata,Кавабата Ясунары,Кавабата Ясунарі,Ясунари Кавабата,Ясунари Кавабата,Jasunari Kavabata,Jasunari Kawabata,m,Yasunari Kawabata
178,Karl Haushofer,Карл Гаўсгофер,Карл Гаусгофер,Карл Хаусхофер,Карл Хаусхофер,Karl Haushofer,Karl Haushofer,m,Karl Haushofer
179,Wisława Szymborska,Віслава Шымборска,Віслава Шимборська,Вислава Шимборская,Вислава Шимборска,Wisława Szymborska,Wisława Szymborská,f,Wisława Szymborska
