,pl,be,uk,ru,bg,sl,cs
761,Rajmund IV z Tuluzy,Раймунд Сен-Жыльскі,Раймунд IV ,Раймунд IV ,Раймон IV ,Rajmond IV. Touluški,Raimond IV. z Toulouse
762,Johannes Kepler,Кеплер,Йоганн Кеплер,Иоганн Кеплер,Йохан Кеплер,Johannes Kepler,Johannes Kepler
763,Nicolas Sarkozy,Нікаля Сарказі,Ніколя Саркозі,Николя Саркози,Никола Саркози,Nicolas Sarkozy,Nicolas Sarkozy
764,Ludwik VII Młody,Луі VII,Людовик VII Молодий,Людовик VII,Луи VII,Ludvik VII. Francoski,Ludvík VII. Francouzský
765,Ludwik VII Młody,Людовік VII Малады,Людовик VII Молодий,Людовик VII,Луи VII,Ludvik VII. Francoski,Ludvík VII. Francouzský
766,Zygmunt III Waza,Жыгімонт III Ваза,Сигізмунд III Ваза,Сигизмунд III,Сигизмунд III Ваза,Sigismund III. Poljski,Zikmund III. Vasa
767,Ludwik VII Młody,Людовік Малады,Людовик VII Молодий,Людовик VII,Луи VII,Ludvik VII. Francoski,Ludvík VII. Francouzský
768,Konrad III Hohenstauf,Конрад III Гогенштаўфен,Конрад III,Конрад III,Конрад III,Konrad III. Nemški,Konrád III
769,Konrad III Hohenstauf,Конрад III,Конрад III,Конрад III,Конрад III,Konrad III. Nemški,Konrád III
770,Katarzyna II Wielka,Кацярына ІІ,Катерина II,Екатерина II,Екатерина II,Katarina Velika,Kateřina II. Veliká
771,Ryszard I Lwie Serce,Рычард Львінае Сэрца,Річард I Левове Серце,Ричард I Львиное Сердце,Ричард I ,Rihard I. Levjesrčni,Richard I. Lví srdce
772,Voltaire,Вальтэр,Вольтер,Вольтер,Волтер,Voltaire,Voltaire
773,Dmitrij Miedwiediew,Дзмітрый Мядзведзеў,Дмитро Медведєв,Дмитрий Медведев,Дмитрий Медведев,Dimitrij Medvedjev,Dmitrij Medveděv
774,Walt Disney,Уолт Дысней,Волт Дісней,Уолт Дисней,Уолт Дисни,Walt Disney,Walt Disney
775,Charles de Gaulle,Шарль дэ Голь,де Шарль,Шарль Де Голль,Шарл дьо Гол,Charles de Gaulle,Charles de Gaulle
776,Paweł I Romanow,Павел I,Павло I,Павел I,Павел I ,Pavel I. Ruski,Pavel I. Ruský
777,Fidel Castro,Ф. Кастра,Фідель Кастро,Фидель Кастро,Фидел Кастро,Fidel Castro,Fidel Castro
778,Charles de Gaulle,Шарль-Андрэ-Жозеф-Мары дэ Голь,де Шарль,Шарль Де Голль,Шарл дьо Гол,Charles de Gaulle,Charles de Gaulle
779,Józef Stalin,І. В. Сталін,Йосип Сталін,Иосиф Сталин,Йосиф Сталин,Josif Stalin,Josif Vissarionovič Stalin
780,Tomasz z Akwinu,Фама Аквінскі,Тома Аквінський,Фома Аквинский,Тома Аквински,Tomaž Akvinski,Tomáš Akvinský
781,Akira Kurosawa,Акіра Курасава,Куросава Акіра,Акира Куросава,Акира Куросава,Akira Kurosawa,Akira Kurosawa
782,Friedrich Georg Wilhelm Struve,Васіль Якаўлевіч Струвэ,Василь Струве,Василий Струве,Фридрих Георг Вилхелм фон Струве,Friedrich Georg Wilhelm von Struve,Friedrich Georg Wilhelm von Struve
783,Bill Gates,Уільям Генры Гейтс III,Білл Гейтс,Билл Гейтс,Бил Гейтс,Bill Gates,Bill Gates
784,Bill Gates,Біл Гейтс,Білл Гейтс,Билл Гейтс,Бил Гейтс,Bill Gates,Bill Gates
785,Gajusz Juliusz Cezar,Юлій Цэзар,Гай Юлій Цезар,Гай Юлий Цезарь,Юлий Цезар,Gaj Julij Cezar,Julius Caesar
786,J.R.R. Tolkien,Джон Толкіэн,Джон Роналд Руел Толкін,Джон Толкин,Дж. Р. Р. Толкин,John Ronald Reuel Tolkien,John Ronald Reuel Tolkien
787,Borys Jelcyn,Барыс Ельцын,Борис Єльцин,Борис Ельцин,Борис Елцин,Boris Jelcin,Boris Jelcin
788,Borys Jelcyn,Барыс Мікалаевіч Ельцын,Борис Єльцин,Борис Ельцин,Борис Елцин,Boris Jelcin,Boris Jelcin
789,Katarzyna II Wielka,Екацярына II,Катерина II,Екатерина II,Екатерина II,Katarina Velika,Kateřina II. Veliká
790,Micheil Saakaszwili,Міхаіл Саакашвілі,Міхеіл Саакашвілі,Михаил Саакашвили,Михаил Саакашвили,Miheil Saakašvili,Michail Saakašvili
791,Iwan IV Groźny,Іван IV,Іван IV Грозний,Иван Грозный,Иван IV,Ivan IV. Vasiljevič Grozni,Ivan IV. Hrozný
792,Peter Handke,Петэр Гандке,Петер Гандке,Петер Хандке,Петер Хандке,Peter Handke,Peter Handke
793,Peter Handke,Пэтэр Хандкэ,Петер Гандке,Петер Хандке,Петер Хандке,Peter Handke,Peter Handke
794,Joe Davis,Джо Дэвіс,Джо Девіс,Джо Дэвис,Джо Дейвис,Joe Davis,Joe Davis
795,Maksymilian II Habsburg,Максіміліян II,Максиміліан II,Максимилиан II ,Максимилиан II ,Maksimilijan II. Habsburški,Maxmilián II. Habsburský
796,James Cook,Дж. Кук,Джеймс Кук,Джеймс Кук,Джеймс Кук,James Cook,James Cook
797,Roald Amundsen,Р. Амундсен,Руаль Амундсен,Руаль Амундсен,Руал Амундсен,Roald Amundsen,Roald Amundsen
798,Adolf Eichmann,Адольф Эйхман,Адольф Айхман,Адольф Эйхман,Адолф Айхман,Adolf Eichmann,Adolf Eichmann
799,Paul Cézanne,Поль Сезан,Поль Сезанн,Поль Сезанн,Пол Сезан,Paul Cézanne,Paul Cézanne
800,Andriej Sacharow,Андрэй Сахараў,Андрій Сахаров,Андрей Сахаров,Андрей Сахаров,Andrej Dimitrijevič Saharov,Andrej Dmitrijevič Sacharov
801,Andriej Sacharow,Андрэй Дзмітрыевіч Сахараў,Андрій Сахаров,Андрей Сахаров,Андрей Сахаров,Andrej Dimitrijevič Saharov,Andrej Dmitrijevič Sacharov
802,Ronaldo,Ранальда,Роналду,Роналдо,Роналдо,Ronaldo,Ronaldo
803,Wolfgang Amadeus Mozart,Вольфганг Амадэй Моцарт,Амадей Вольфганг,Вольфганг Моцарт,Волфганг Амадеус Моцарт,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart
804,Sarah Bernhardt,Сара Бернар,Сара Бернар,Сара Бернар,Сара Бернар,Sarah Bernhardt,Sarah Bernhardt
805,Włodzimierz Lenin,У. Ленін,Володимир Ленін,Владимир Ленин,Владимир Ленин,Vladimir Lenin,Vladimir Iljič Lenin
806,Charlie Chaplin,Чарлі Чаплін,Чарлі Чаплін,Чарльз Чаплин,Чарли Чаплин,Charlie Chaplin,Charlie Chaplin
807,William Butler Yeats,Уільям Батлер Ейтс,Батлер Вільям,Уильям Йейтс,Уилям Бътлър Йейтс,William Butler Yeats,William Butler Yeats
808,Marlene Dietrich,Марлен Дзітрых,Марлен Дітріх,Марлен Дитрих,Марлене Дитрих,Marlene Dietrich,Marlene Dietrichová
809,Marlene Dietrich,Марлен Дытрых,Марлен Дітріх,Марлен Дитрих,Марлене Дитрих,Marlene Dietrich,Marlene Dietrichová
810,Wasyl II Ślepy,Васілій II,Василь II Темний,Василий II Тёмный,Василий II Тъмни,Vasilij II. Vasiljevič,Vasilij II
811,Aleksander Puszkin,Аляксандр Пушкін,Олександр Пушкін,Александр Пушкин,Александър Пушкин,Aleksander Sergejevič Puškin,Alexandr Sergejevič Puškin
812,Aleksander Puszkin,Аляксандр Сяргеевіч Пушкін,Олександр Пушкін,Александр Пушкин,Александър Пушкин,Aleksander Sergejevič Puškin,Alexandr Sergejevič Puškin
813,Wład Palownik,Улад III Цэпеш,Влад III Дракула,Влад III Цепеш,Влад Цепеш,Vlad III. Drakula,Vlad III. Dracula
814,Wład Palownik,Дракула,Влад III Дракула,Влад III Цепеш,Влад Цепеш,Vlad III. Drakula,Vlad III. Dracula
815,Wład Palownik,Улад Цепеш,Влад III Дракула,Влад III Цепеш,Влад Цепеш,Vlad III. Drakula,Vlad III. Dracula
816,Marcin Luter,Марцін Лютэр,Мартін Лютер,Мартин Лютер,Мартин Лутер,Martin Luther,Martin Luther
817,Immanuel Kant,Імануіл Кант,Іммануїл Кант,Иммануил Кант,Имануел Кант,Immanuel Kant,Immanuel Kant
818,Oleg Mądry,Алег Вешчы,Олег Віщий,Олег Вещий,Олег,Oleg Novgorodski,Oleg
819,Michaił Gorbaczow,Міхаіл Сяргеевіч Гарбачоў,Михайло Горбачов,Михаил Горбачёв,Михаил Горбачов,Mihail Gorbačov,Michail Sergejevič Gorbačov
820,Światosław I,Святаслаў Ігаравіч,Святослав Ігорович,Святослав Игоревич,Светослав I,Svjatoslav I. Kijevski,Svjatoslav I. Igorevič
821,Światosław I,Святаслаў,Святослав Ігорович,Святослав Игоревич,Светослав I,Svjatoslav I. Kijevski,Svjatoslav I. Igorevič
822,Włodzimierz I Wielki,Уладзімір Святаславіч,Володимир Святославич,Владимир Святославич,Владимир I,Vladimir I. Kijevski,Vladimír I
823,Włodzimierz I Wielki,Уладзімір Вялікі,Володимир Святославич,Владимир Святославич,Владимир I,Vladimir I. Kijevski,Vladimír I
