,pl,be,uk,ru,bg,sl,cs
0,Anthony Eden,Энтані Ідэн,Ентоні Іден,Энтони Иден,Антъни Идън,Anthony Eden,Anthony Eden
1,Filippo Inzaghi,Філіпа Індзагі,Філіппо Індзагі,Филиппо Индзаги,Филипо Индзаги,Filippo Inzaghi,Filippo Inzaghi
2,Arthur Wellesley ,А. Велінгтан,Артур Веллслі,Артур Веллингтон,Артър Уелсли,Arthur Wellesley,Arthur Wellesley
3,Abbas I Wielki,Абас I Вялікі,Аббас I Великий,Аббас I Великий,Абас I Велики,Abas I. Veliki,Abbás I. Veliký
4,Agapit I,Агапій I ,Агапіт I,Агапит I,Агапет I,Papež Agapit I,Agapetus I
5,John Adams,Джон Адамс,Джон Адамс,Джон Адамс,Джон Адамс,John Adams,John Adams
6,John Quincy Adams,Джон Квінсі Адамс,Квінсі Джон,Джон Адамс,Джон Куинси Адамс,John Quincy Adams,John Quincy Adams
7,José Leandro Andrade,Хасэ Леандра Андрадэ,Леандро Хосе,Хосе Андраде,Хосе Андраде,José Leandro Andrade,José Andrade
8,Thierry Henry,Цьеры Анры,Тьєррі Анрі,Тьерри Анри,Тиери Анри,Thierry Henry,Thierry Henry
9,Chester Arthur,Чэстэр Алан Артур,Алан Честер,Честер Артур,Честър Артър,Chester Alan Arthur,Chester A. Arthur
10,Klaus Augenthaler,Клаўс Аўгенталер,Клаус Аугенталер,Клаус Аугенталер,Клаус Аугенталер,Klaus Augenthaler,Klaus Augenthaler
11,Uwe Bein,Увэ Байн,Уве Байн,Уве Байн,Уве Байн,Uwe Bein,Uwe Bein
12,Bonifacy II,Баніфацый II ,Боніфацій II,Бонифаций II,Бонифаций II,Papež Bonifacij II,Bonifác II
13,Andrea Barzagli,Андрэа Бардзальі,Андреа Барцальї,Андреа Бардзальи,Андреа Бардзали,Andrea Barzagli,Andrea Barzagli
14,Bebeto,Бебету,Бебето,Бебето,Бебето,Bebeto,Bebeto
15,Benedykt XVI,Бенедыкт XVI,Бенедикт XVI,Бенедикт XVI,Бенедикт XVI,Papež Benedikt XVI,Benedikt XVI
16,Benedykt XV,Бенедыкт XV,Бенедикт XV,Бенедикт XV,Бенедикт XV,Papež Benedikt XV,Benedikt XV
17,Leonard Bernstein,Леанард Бернстайн,Леонард Бернстайн,Леонард Бернстайн,Ленард Бърнстейн,Leonard Bernstein,Leonard Bernstein
18,Tony Blair,Тоні Блэр,Тоні Блер,Тони Блэр,Тони Блеър,Tony Blair,Tony Blair
19,Paul Breitner,Паўль Брайтнер,Пауль Брайтнер,Пауль Брайтнер,Паул Брайтнер,Paul Breitner,Paul Breitner
20,Gianluigi Buffon,Джанлуіджы Буфон,Джанлуїджі Буффон,Джанлуиджи Буффон,Джанлуиджи Буфон,Gianluigi Buffon,Gianluigi Buffon
21,Guido Buchwald,Гвіда Бухвальд,Гвідо Бухвальд,Гвидо Бухвальд,Гуидо Бухвалд,Guido Buchwald,Guido Buchwald
22,George H.W. Bush,Джордж Герберт Уокер Буш,Джордж Герберт Вокер Буш,Джордж Буш,Джордж Х. У. Буш,George H. W. Bush,George H. W. Bush
23,George W. Bush,Джордж Уокер Буш,Вокер Джордж,Джордж Буш,Джордж Уокър Буш,George Walker Bush,George W. Bush
24,Gordon Banks,Гордан Бэнкс,Гордон Бенкс,Гордон Бэнкс,Гордън Бенкс,Gordon Banks,Gordon Banks
25,James Buchanan,Джэймс Б’юкенен,Джеймс Б'юкенен,Джеймс Бьюкенен,Джеймс Бюканън,James Buchanan,James Buchanan
26,Martin Van Buren,Марцін Ван Бюрэн,ван Мартін,Мартин Ван Бюрен,Мартин Ван Бюрън,Martin Van Buren,Martin Van Buren
27,Carlos Bilardo,Карлас Біларда,Карлос Білардо,Карлос Билардо,Карлос Билардо,Carlos Bilardo,Carlos Bilardo
28,George Washington,Джордж Вашынгтон,Джордж Вашингтон,Джордж Вашингтон,Джордж Вашингтон,George Washington,George Washington
29,Arthur Wellesley ,Велінгтан,Артур Веллслі,Артур Веллингтон,Артър Уелсли,Arthur Wellesley,Arthur Wellesley
30,Jules Verne,Жуль Верн,Жуль Верн,Жюль Верн,Жул Верн,Jules Verne,Jules Verne
31,Wen Jiabao,Вэнь Цзябаа,Вень Цзябао,Вэнь Цзябао,Уън Дзябао,Ven Džjabao,Wen Ťia-pao
32,Wigiliusz ,Вігілій ,Вігілій,Вигилий ,Вигилий,Papež Vigilij,Vigilius
33,Patrick Vieira,Патрык Віейра,Патрік Вієйра,Патрик Виейра,Патрик Виейра,Patrick Vieira,Patrick Vieira
34,Woodrow Wilson,Томас Вудра Вільсан,Вудро Вільсон,Вудро Вильсон,Удроу Уилсън,Woodrow Wilson,Woodrow Wilson
35,Ludwig Wittgenstein,Людвіг Вітгенштэйн,Людвіг Вітгенштайн,Людвиг Витгенштейн,Лудвиг Витгенщайн,Ludwig Wittgenstein,Ludwig Wittgenstein
36,Harold II,Гаральд II Годвінсан,Гарольд II Ґодвінсон,Гарольд II Годвинсон,Харолд Годуинсън,Harold II,Harold II. Godwinson
37,Warren Harding,Уорэн Гардзінг,Воррен Гардінг,Уоррен Гардинг,Уорън Хардинг,Warren G. Harding,Warren G. Harding
38,James Garfield,Джэймс Абрам Гарфілд,Джеймс Гарфілд,Джеймс Гарфилд,Джеймс Гарфийлд,James Abram Garfield,James A. Garfield
39,Garrincha,Гарынча,Гаррінча,Гарринча,Гаринча,Garrincha,Garrincha
40,Benjamin Harrison,Бенджамін Гарысан,Бенджамін Гаррісон,Бенджамин Гаррисон,Бенджамин Харисън,Benjamin Harrison,Benjamin Harrison
41,William Henry Harrison,Уільям Генры Гарысан,Генрі Вільям,Уильям Гаррисон,Уилям Хенри Харисън,William Henry Harrison,William Henry Harrison
42,Ulysses Grant,Уліс Сімсан Грант,Улісс Грант,Улисс Грант,Юлисис Грант,Ulysses S. Grant,Ulysses S. Grant
43,Herbert Hoover,Герберт Кларк Гувер,Герберт Гувер,Герберт Гувер,Хърбърт Хувър,Herbert Hoover,Herbert Hoover
44,Alcides Ghiggia,Альсідэс Гіджа,Альсідес Гіджа,Альсидес Гиджа,Алсидес Гиджа,Alcides Ghiggia,Alcides Ghiggia
45,Lyndon B. Johnson,Ліндан Бэйнс Джонсан,Ліндон Джонсон,Линдон Джонсон,Линдън Джонсън,Lyndon B. Johnson,Lyndon B. Johnson
46,Andrew Johnson,Эндру Джонсан,Ендрю Джонсон,Эндрю Джонсон,Андрю Джонсън,Andrew Johnson,Andrew Johnson
47,David Lloyd George,Дэвід Лойд Джордж,Ллойд Девід,Дэвид Ллойд Джордж,Дейвид Лойд Джордж,David Lloyd George,David Lloyd George
48,Alberto Gilardino,Альберта Джылардзіна,Альберто Джилардіно,Альберто Джилардино,Алберто Джилардино,Alberto Gilardino,Alberto Gilardino
49,Andrew Jackson,Эндру Джэксан,Ендрю Джексон,Эндрю Джексон,Андрю Джаксън,Andrew Jackson,Andrew Jackson
50,Thomas Jefferson,Томас Джэферсан,Томас Джефферсон,Томас Джефферсон,Томас Джеферсън,Thomas Jefferson,Thomas Jefferson
51,Benjamin Disraeli,Дзісраэлі,Бенджамін Дізраелі,Бенджамин Дизраэли,Бенджамин Дизраели,Benjamin Disraeli,Benjamin Disraeli
52,Douglas Adams,Дуглас Адамс,Дуглас Адамс,Дуглас Адамс,Дъглас Адамс,Douglas Adams,Douglas Adams
53,Dunga,Дунга,Дунга,Дунга,Дунга,Dunga,Dunga
54,Benjamin Disraeli,Бенджамін Дызраэлі,Бенджамін Дізраелі,Бенджамин Дизраэли,Бенджамин Дизраели,Benjamin Disraeli,Benjamin Disraeli
55,Daniele De Rossi,Дэ Росі Даніэле,Де Данієле,Даниеле Де Росси,Даниеле Де Роси,Daniele De Rossi,Daniele De Rossi
56,Alessandro Del Piero,Алесандра Дэль П’ера,Дель Алессандро,Алессандро Дель Пьеро,Алесандро Дел Пиеро,Alessandro Del Piero,Alessandro Del Piero
57,Jorginho ,Жаржынью,Жоржиньйо ,Жоржиньо,Жоржиньо,Jorginho,Jorginho 
58,Jairzinho,Жайрзінью,Жаїрзінью,Жаирзиньо,Жаирзиньо,Jairzinho,Jairzinho
59,Juninho Paulista,Жунінью Паўліста,Жуніньйо Пауліста,Жуниньо Паулиста,Жуниньо Паулища,Juninho Paulista,Juninho Paulista
60,Zinédine Zidane,Зінедзін Зідан,Зінедін Зідан,Зинедин Зидан,Зинедин Зидан,Zinedine Zidane,Zinédine Zidane
61,Zinho,Зінью,Зіньйо,Зиньо,Зиньо,Zinho,Zinho
62,Kaká,Кака,Кака,Кака,Кака ,Kaká,Kaká
63,Mauro Camoranesi,Маўра Камаранезі,Мауро Каморанезі,Мауро Каморанези,Мауро Каморанези,Mauro Camoranesi,Mauro Camoranesi
64,Konfucjusz,Канфуцый,Конфуцій,Конфуций,Конфуций,Konfucij,Konfucius
65,Jimmy Carter,Джэймс Эрл Картэр,Джиммі Картер,Джимми Картер,Джими Картър,Jimmy Carter,Jimmy Carter
66,Héctor Castro,Эктар Кастра,Ектор Кастро,Эктор Кастро,Ектор Кастро,Héctor Castro,Héctor Castro
67,Cafu,Кафу,Кафу,Кафу,Кафу ,Cafu,Cafu
68,John F. Kennedy,Джон Фіцджэральд Кенэдзі,Фіцджеральд Джон,Джон Кеннеди,Джон Кенеди,John F. Kennedy,John Fitzgerald Kennedy
69,Klemens III ,Клімент III ,Климент III ,Климент III ,Климент III ,Protipapež Klemen III,Klement III. 
70,Jürgen Klinsmann,Юрген Клінсман,Юрген Клінсманн,Юрген Клинсман,Юрген Клинсман,Jürgen Klinsmann,Jürgen Klinsmann
71,Bill Clinton,Біл Клінтан,Білл Клінтон,Билл Клинтон,Бил Клинтън,Bill Clinton,Bill Clinton
72,Grover Cleveland,Стывен Гровер Кліўленд,Гровер Клівленд,Гровер Кливленд,Гроувър Кливланд,Grover Cleveland,Grover Cleveland
73,Jürgen Kohler,Юрген Колер,Юрген Колер,Юрген Колер,Юрген Колер,Jürgen Kohler,Jürgen Kohler
74,Izaak I Komnen,Ісаак I Камнін,Ісаак I Комнін,Исаак I Комнин,Исак I Комнин,Izak I. Komnen,Izák I. Komnenos
75,Aleksy I Komnen,Аляксей I Камнін,Олексій I Комнін,Алексей I Комнин,Алексий I Комнин,Aleksej I. Komnen,Alexios I. Komnenos
76,Anna Komnena,Ганна Камніна,Анна Комніна,Анна Комнина,Анна Комнина,Ana Komnena,Anna Komnenovna
77,Calvin Coolidge,Кальвін Кулідж,Калвін Кулідж,Калвин Кулидж,Калвин Кулидж,Calvin Coolidge,Calvin Coolidge
78,Wawrzyniec ,Лаўрэнцій ,Лаврентій ,Лаврентий ,Лаврентий ,Protipapež Lovrenc,Laurentius
79,Leonardo Nascimento de Araújo,Леанарду Араужу,Леонардо Араужо,Леонардо Араужо,Леонардо Араужо,Leonardo Araújo,Leonardo Nascimento de Araújo
80,Leon XIII,Леў XIII,Лев XIII,Лев XIII,Лъв XIII,Papež Leon XIII,Lev XIII
81,Luiz Carlos Bombonato Goulart,Луіс Карлус Бамбанату Голарт,Луїс Карлос Бомбонато Гоуларт,Луис Бомбонато Гоуларт,Луизао,Luizão,Luiz Carlos Bombonato Goulart
82,Bixente Lizarazu,Біксант Лізаразю,Біксант Лізаразю,Биксант Лизаразю,Бишенте Лизаразу,Bixente Lizarazu,Bixente Lizarazu
83,Abraham Lincoln,Аўраам Лінкальн,Авраам Лінкольн,Авраам Линкольн,Ейбрахам Линкълн,Abraham Lincoln,Abraham Lincoln
84,Linus ,Лін,Лін ,Лин ,Лин ,Papež Lin,Linus
85,Linus Torvalds,Лінус Торвальдс,Лінус Торвальдс,Линус Торвальдс,Линус Торвалдс,Linus Torvalds,Linus Torvalds
86,Pierre Littbarski,П’ер Літбарскі,П'єр Літтбарскі,Пьер Литтбарски,Пиер Литбарски,Pierre Littbarski,Pierre Littbarski
87,Sepp Maier,Зеп Маер,Зепп Маєр,Зепп Майер,Сеп Майер,Sepp Maier,Sepp Maier
88,William McKinley,Уільям Мак-Кінлі,Вільям Мак-Кінлі,Уильям Мак-Кинли,Уилям Маккинли,William McKinley,William McKinley
89,James Monroe,Джэймс Манро,Джеймс Монро,Джеймс Монро,Джеймс Монро,James Monroe,James Monroe
90,Diego Maradona,Дыега Арманда Марадона,Дієго Марадона,Диего Марадона,Диего Марадона,Diego Maradona,Diego Maradona
91,Evo Morales,Эва Маралес,Ево Моралес,Эво Моралес,Ево Моралес,Evo Morales,Evo Morales
92,Marco Materazzi,Марка Матэрацы,Марко Матерацці,Марко Матерацци,Марко Матераци,Marco Materazzi,Marco Materazzi
93,Lothar Matthäus,Лотар Матэус,Лотар Маттеус,Лотар Маттеус,Лотар Матеус,Lothar Matthäus,Lothar Matthäus
94,César Luis Menotti,Сесар Луіс Меноці,Луїс Сесар,Сесар Менотти,Сезар Луис Меноти,César Luis Menotti,César Luis Menotti
95,James Madison,Джэймс Мэдысан,Джеймс Медісон,Джеймс Мэдисон,Джеймс Мадисън,James Madison,James Madison
96,Müller ,Мюлер ,Мюллер ,Мюллер ,Мюлер ,Luís Antônio Corrêa da Costa,Müller 
97,Gerd Müller,Герд Мюлер,Герд Мюллер,Герд Мюллер,Герд Мюлер,Gerd Müller,Gerd Müller
98,Michał Anioł,Мікеланджэла Буанароці,Мікеланджело Буонарроті,Микеланджело,Микеланджело Буонароти,Michelangelo Buonarroti,Michelangelo Buonarroti
99,Isaac Newton,Ісаак Ньютан,Ісаак Ньютон,Исаак Ньютон,Исак Нютон,Isaac Newton,Isaac Newton
100,Alessandro Nesta,Алесандра Неста,Алессандро Неста,Алессандро Неста,Алесандро Неста,Alessandro Nesta,Alessandro Nesta
101,Richard Nixon,Рычард Мілхаўс Ніксан,Річард Ніксон,Ричард Никсон,Ричард Никсън,Richard Nixon,Richard Nixon
102,Niels Bohr,Нільс Бор,Нільс Бор,Нильс Бор,Нилс Бор,Niels Henrik David Bohr,Niels Bohr
103,Otto von Bismarck,О. Бісмарк,фон Отто,Отто Бисмарк,Ото фон Бисмарк,Otto von Bismarck,Otto von Bismarck
104,Massimo Oddo,Масіма Ода,Массімо Оддо,Массимо Оддо,Масимо Одо,Massimo Oddo,Massimo Oddo
105,Otto von Bismarck,Ота фон Бісмарк,фон Отто,Отто Бисмарк,Ото фон Бисмарк,Otto von Bismarck,Otto von Bismarck
106,Paweł VI,Павел VI,Павло VI,Павел VI,Павел VI,Papež Pavel VI,Pavel VI
107,Luca Pacioli,Лука Пачолі,Лука Пачолі,Лука Пачоли,Лука Пачоли,Luca Pacioli,Luca Pacioli
108,Pelagiusz I,Пелагій I ,Пелагій I,Пелагий I,Пелагий I,Papež Pelagij I,Pelagius I
109,Pelé,Пеле,Пеле,Пеле,Пеле,Pelé,Pelé
110,James Polk,Джэймс Нокс Полк,Нокс Джеймс,Джеймс Полк,Джеймс Полк,James K. Polk,James K. Polk
111,Karl Popper,Карл Попер,Карл Поппер,Карл Поппер,Карл Попър,Karl Popper,Karl Popper
112,Piotr Apostoł,Пётр ,Петро ,Апостол Пётр,Петър ,Sveti Peter,Petr 
113,Pius IX,Пій IX,Пій IX,Пий IX,Пий IX,Papež Pij IX,Pius IX
114,Pius XII,Пій XII,Пій XII,Пий XII,Пий XII,Papež Pij XII,Pius XII
115,Pius XI,Пій XI,Пій XI,Пий XI,Пий XI,Papež Pij XI,Pius XI
116,Pius X,Пій X,Пій X,Пий X,Пий X,Papež Pij X,Pius X
117,Robert Peel,Роберт Піль,Роберт Піль,Роберт Пиль,Робърт Пийл,Robert Peel,Robert Peel
118,Franklin Pierce,Франклін Пірс,Франклін Пірс,Франклин Пирс,Франклин Пиърс,Franklin Pierce,Franklin Pierce
119,Robert Pirès,Рабер Пірэс,Робер Пірес,Робер Пирес,Робер Пирес,Robert Pirès,Robert Pirès
120,Roberto Carlos ,Раберту Карлус,Роберто Карлос,Роберто Карлос,Роберто Карлош,Roberto Carlos,Roberto Carlos
121,Pietro Rava,П’етра Рава,П'єтро Рава,Пьетро Рава,Пиетро Рава,Pietro Rava,Pietro Rava
122,Romário,Рамарыу,Ромаріу,Ромарио,Ромарио,Romário,Romário
123,Ronaldo,Раналду,Роналду,Роналдо,Роналдо,Ronaldo,Ronaldo
124,Ronaldinho,Раналдынью,Роналдінью,Роналдиньо,Роналдиньо,Ronaldinho,Ronaldinho
125,Paolo Rossi,Паала Росі,Паоло Россі,Паоло Росси,Паоло Роси,Paolo Rossi,Paolo Rossi
126,Theodore Roosevelt,Тэадор Рузвельт,Теодор Рузвельт,Теодор Рузвельт,Теодор Рузвелт,Theodore Roosevelt,Theodore Roosevelt
127,Franklin Delano Roosevelt,Франклін Дэлана Рузвельт,Делано Франклін,Франклин Рузвельт,Франклин Делано Рузвелт,Franklin Delano Roosevelt,Franklin Delano Roosevelt
128,Rivaldo,Рывалду,Рівалдо,Ривалдо,Ривалдо,Rivaldo,Rivaldo
129,Grzegorz I,Грыгорый I ,Григорій I,Григорий I ,Григорий I,Papež Gregor I,Řehoř I. Veliký
130,Grzegorz XVI,Грыгорый XVI,Григорій XVI,Григорий XVI,Григорий XVI,Papež Gregor XVI,Řehoř XVI
131,Ryszard I Lwie Serce,Рычард I,Річард I Левове Серце,Ричард I Львиное Сердце,Ричард I ,Rihard I. Levjesrčni,Richard I. Lví srdce
132,Richard Nixon,Рычард Ніксан,Річард Ніксон,Ричард Никсон,Ричард Никсън,Richard Nixon,Richard Nixon
133,Ronald Reagan,Рональд Уілсан Рэйган,Рональд Рейган,Рональд Рейган,Роналд Рейгън,Ronald Reagan,Ronald Reagan
134,Héctor Scarone,Эктар Скаронэ,Ектор Скароне,Эктор Скароне,Ектор Скароне,Héctor Scarone,Héctor Scarone
135,Edward Sapir,Эдвард Сэйпір,Едвард Сепір,Эдуард Сепир,Едуард Сапир,Edward Sapir,Edward Sapir
136,Sylweriusz ,Сільверый ,Сільверій,Сильверий ,Силверий,Papež Silverij,Silverius
137,Symmachus ,Сімах ,Симах,Симмах ,Симах,Papež Simah,Symmachus 
138,John Tyler,Джон Тайлер,Джон Тайлер,Джон Тайлер,Джон Тайлър,John Tyler,John Tyler
139,Cláudio Taffarel,Клаўдыу Тафарэл,Клаудіо Таффарел,Клаудио Таффарел,Клаудио Тафарел,Cláudio Taffarel,Cláudio Taffarel
140,William Taft,Уільям Говард Тафт,Говард Вільям,Уильям Тафт,Уилям Тафт,William Howard Taft,William Howard Taft
141,Francesco Totti,Тоці Франчэска,Франческо Тотті,Франческо Тотти,Франческо Тоти,Francesco Totti,Francesco Totti
142,Harry Truman,Гары Трумэн,Гаррі Трумен,Гарри Трумэн,Хари С. Труман,Harry S. Truman,Harry S. Truman
143,Zachary Taylor,Закары Тэйлар,Закарі Тейлор,Закари Тейлор,Закари Тейлър,Zachary Taylor,Zachary Taylor
144,Benjamin Lee Whorf,Бенджамін Лі Уорф,Лі Бенджамін,Бенджамин Уорф,Бенджамин Уорф,Benjamin Lee Whorf,Benjamin Lee Whorf
145,Arthur Wellesley ,Артур Уэлслі Уэлінгтан,Артур Веллслі,Артур Веллингтон,Артър Уелсли,Arthur Wellesley,Arthur Wellesley
146,Feliks V,Амадэй VIII,Фелікс V ,Амадей VIII,Амадей VIII Савойски,Protipapež Feliks V,Amadeus VIII. Savojský
147,Gerald Ford,Джэральд Рудальф Форд,Джеральд Форд,Джеральд Форд,Джералд Форд,Gerald Ford,Gerald Ford
148,Rudi Völler,Рудзі Фёлер,Руді Феллер,Руди Фёллер,Руди Фьолер,Rudi Völler,Rudi Völler
149,Millard Fillmore,Мілард Філмар,Міллард Філлмор,Миллард Филлмор,Милърд Филмор,Millard Fillmore,Millard Fillmore
150,Ubaldo Fillol,Убальда Фільёль,Убальдо Фільйоль,Убальдо Фильоль,Убалдо Фильол,Ubaldo Fillol,Ubaldo Fillol
151,José de San Martín,Хасэ дэ Сан-Марцін,де Хосе,Хосе Сан-Мартин,Хосе де Сан Мартин,José de San Martín,José de San Martín
152,Rutherford Hayes,Ратэрфорд Бэрчард Хейс,Резерфорд Гейз,Ратерфорд Хейс,Ръдърфорд Хейс,Rutherford Birchard Hayes,Rutherford B. Hayes
153,Noam Chomsky,Ноам Хомскі,Ноам Чомскі,Ноам Хомский,Ноам Чомски,Noam Chomsky,Noam Chomsky
154,Geoff Hurst,Джэфры Херст,Джефф Герст,Джефф Херст,Джоф Хърст,Geoff Hurst,Geoff Hurst
155,Thomas Häßler,Томас Геслер,Томас Гесслер,Томас Хесслер,Томас Хеслер,Thomas Häßler,Thomas Häßler
156,Charles Francis Richter,Чарльз Рыхтэр,Френсіс Чарльз,Чарльз Рихтер,Чарлз Франсис Рихтер,Charles Francis Richter,Charles Richter
157,Bobby Charlton,Бобі Чарльтан,Боббі Чарлтон,Бобби Чарльтон,Боби Чарлтън,Bobby Charlton,Bobby Charlton
158,Neville Chamberlain,Невіл Чэмберлен,Невілл Чемберлен,Невилл Чемберлен,Невил Чембърлейн,Neville Chamberlain,Neville Chamberlain
159,Winston Churchill,Уінстан Чэрчыль,Вінстон Черчилль,Уинстон Черчилль,Уинстън Чърчил,Winston Churchill,Winston Churchill
160,Arnold Schönberg,Арнольд Шонберг,Арнольд Шенберг,Арнольд Шёнберг,Арнолд Шьонберг,Arnold Schönberg,Arnold Schoenberg
161,Edgar II Ætheling,Эдгар Этэлінг,Едгар Етелінг,Эдгар Этелинг,Едгар Етелинг,Edgar Ætheling,Edgar Ætheling
162,Edílson,Эдылсан да Сілва Ферэйра,Еділсон,Эдилсон Силва Феррейра,Едилсон,Edílson,Edílson
163,Dwight Eisenhower,Дуайт Дэйвід Эйзенхаўэр,Дуайт Ейзенхауер,Дуайт Эйзенхауэр,Дуайт Айзенхауер,Dwight David Eisenhower,Dwight D. Eisenhower
164,Clement Attlee,Клемент Этлі,Клемент Еттлі,Клемент Эттли,Клемент Атли,Clement Attlee,Clement Attlee
165,Jan III ,Ян III ,Іван III ,Иоанн III ,Йоан III ,Papež Janez III,Jan III. 
166,Jan I ,Ян I ,Іван I ,Иоанн I ,Йоан I ,Papež Janez I,Jan I. 
167,Jan XVII,Ян XVII ,Іван XVII,Иоанн XVII,Йоан XVII ,Papež Janez XVII,Jan XVII
168,Jan XXIII,Ян XXIII,Іван XXIII,Иоанн XXIII,Йоан XXIII,Papež Janez XXIII,Jan XXIII
169,Jan Matejko,Ян Матэйка,Ян Матейко,Ян Матейко,Ян Матейко,Jan Matejko,Jan Matejko
170,Jan Paweł II,Ян Павел II,Іван Павло II,Иоанн Павел II,Йоан Павел II,Papež Janez Pavel II,Jan Pavel II
171,Jan Paweł I,Ян Павел I,Іван Павло I,Иоанн Павел I,Йоан Павел I,Papež Janez Pavel I,Jan Pavel I
172,Aleksander I ,Аляксандр I ,Олександр I ,Александр I ,Александър I ,Papež Aleksander I,Alexandr I. 
173,Hipparchos z Nikei,Гіпарх,Гіппарх,Гиппарх,Хипарх,Hiparh,Hipparchos
174,Edwin Hubble,Эдвін Паўэл Хабл,Едвін Габбл,Эдвин Хаббл,Едуин Хъбъл,Edwin Powell Hubble,Edwin Hubble
175,Stanisław August Poniatowski,Станіслаў Аўгуст Панятоўскі,Станіслав-Август Понятовський,Станислав Август Понятовский,Станислав Август Понятовски,Stanislav II. Avgust Poniatowski,Stanislav II. August Poniatowski
176,Stefan Batory,Стэфан Баторый,Стефан Баторій,Стефан Баторий,Стефан Батори,Štefan Báthory,Štěpán Báthory
177,Zygmunt III Waza,Жыгімонт Ваза,Сигізмунд III Ваза,Сигизмунд III,Сигизмунд III Ваза,Sigismund III. Poljski,Zikmund III. Vasa
178,Władysław IV Waza,Уладзіслаў Ваза,Владислав IV Ваза,Владислав IV,Владислав IV Ваза,Vladislav IV. Poljski,Vladislav IV. Vasa
179,Władysław II Jagiełło,Ягайла,Владислав II Ягайло,Ягайло,Владислав II,Vladislav II. Poljski,Vladislav II. Jagello
180,Stanley Kubrick,Стэнлі Кубрык,Стенлі Кубрик,Стэнли Кубрик,Стенли Кубрик,Stanley Kubrick,Stanley Kubrick
181,Mikalojus Konstantinas Čiurlionis,Мікалоюс Чурлёніс,Константінас Мікалоюс,Микалоюс Чюрлёнис,Микалоюс Чурльонис,Mikalojus Konstantinas Čiurlionis,Mikalojus Konstantinas Čiurlionis
182,Edwin Hubble,Э. Хабл,Едвін Габбл,Эдвин Хаббл,Едуин Хъбъл,Edwin Powell Hubble,Edwin Hubble
183,Mani,Мані,Мані ,Мани ,Мани,Mani,Mání
184,Bracia Wright,Браты Райт,Брати Райт,Братья Райт,Братя Райт,Brata Wright,Bratři Wrightové
185,Bracia Wright,Уілбер Райт,Брати Райт,Братья Райт,Братя Райт,Brata Wright,Bratři Wrightové
186,Bracia Wright,Орвіл Райт,Брати Райт,Братья Райт,Братя Райт,Brata Wright,Bratři Wrightové
187,Yasunari Kawabata,Кавабата Ясунары,Кавабата Ясунарі,Ясунари Кавабата,Ясунари Кавабата,Jasunari Kavabata,Jasunari Kawabata
188,Karl Haushofer,Карл Гаўсгофер,Карл Гаусгофер,Карл Хаусхофер,Карл Хаусхофер,Karl Haushofer,Karl Haushofer
189,Wisława Szymborska,Віслава Шымборска,Віслава Шимборська,Вислава Шимборская,Вислава Шимборска,Wisława Szymborska,Wisława Szymborská
190,Irving Berlin,Ірвінг Берлін,Ірвінг Берлін,Ирвинг Берлин,Ървинг Бърлин,Irving Berlin,Irving Berlin
191,Oskar Schindler,Оскар Шындлер,Оскар Шиндлер,Оскар Шиндлер,Оскар Шиндлер,Oskar Schindler,Oskar Schindler
192,Alaksandr Łukaszenka,Аляксандр Рыгоравіч Лукашэнка,Олександр Лукашенко,Александр Лукашенко,Александър Лукашенко,Aleksander Lukašenko,Alexandr Lukašenko
193,Tyberiusz,Тыберый,Тиберій,Тиберий,Тиберий,Tiberij,Tiberius
194,Mstisław Rostropowicz,Мсціслаў Леапольдавіч Растраповіч,Мстислав Ростропович,Мстислав Ростропович,Мстислав Ростропович,Mstislav Rostropovič,Mstislav Rostropovič
195,Mstisław Rostropowicz,Растраповіч,Мстислав Ростропович,Мстислав Ростропович,Мстислав Ростропович,Mstislav Rostropovič,Mstislav Rostropovič
196,Faustyna Kowalska,Фаўстына Кавальская,Фаустина Ковальська,Фаустина Ковальская,Фаустина Ковалска,Favstina Kowalska,Maria Faustyna Kowalska
197,Eugène Delacroix,Эжэн Дэлакруа,Ежен Делакруа,Эжен Делакруа,Йожен Дьолакроа,Eugène Delacroix,Eugène Delacroix
198,Jan Kalwin,Жан Кальвін,Жан Кальвін,Жан Кальвин,Жан Калвин,Jean Calvin,Jan Kalvín
199,Huldrych Zwingli,Ульрых Цвінглі,Ульріх Цвінглі,Ульрих Цвингли,Улрих Цвингли,Ulrich Zwingli,Ulrich Zwingli
200,Salvador Allende,Сальвадор Альендэ,Сальвадор Альєнде,Сальвадор Альенде,Салвадор Алиенде,Salvador Allende,Salvador Allende
201,George Lucas,Джордж Лукас,Джордж Лукас,Джордж Лукас,Джордж Лукас,George Lucas,George Lucas
202,Jules Verne,Верн Жуль,Жуль Верн,Жюль Верн,Жул Верн,Jules Verne,Jules Verne
203,Alfred Hitchcock,Альфрэд Хічкок,Альфред Гічкок,Альфред Хичкок,Алфред Хичкок,Alfred Hitchcock,Alfred Hitchcock
204,Thomas Alva Edison,Томас Эдысан,Алва Томас,Томас Эдисон,Томас Едисън,Thomas Alva Edison,Thomas Alva Edison
205,Benjamin Lee Whorf,Бенджамін Уорф,Лі Бенджамін,Бенджамин Уорф,Бенджамин Уорф,Benjamin Lee Whorf,Benjamin Lee Whorf
206,Benjamin Lee Whorf,Б. Л. Уорф,Лі Бенджамін,Бенджамин Уорф,Бенджамин Уорф,Benjamin Lee Whorf,Benjamin Lee Whorf
